 6000 0 0 
 -0.4751355E-04 -0.2537296E-02  0.3034983E-03 -0.1571022E-03  0.1036929E-02 -0.1652886E-05 -0.1956943E-05 -0.0000000E+00  0.1000000E+01
  0.3276074E-04 -0.7841303E-03 -0.2728333E-04 -0.1997800E-02  0.2458917E-04 -0.6402792E-03 -0.1956943E-05 -0.0000000E+00  0.2000000E+01
 -0.2915344E-03 -0.3594538E-02  0.1141227E-03 -0.1651677E-02 -0.1407598E-02 -0.2048950E-02 -0.1956943E-05 -0.0000000E+00  0.3000000E+01
  0.1289548E-04  0.1200503E-02  0.3485186E-04  0.2298319E-02  0.1352245E-02  0.8426283E-04 -0.1956943E-05 -0.0000000E+00  0.4000000E+01
  0.1132426E-03 -0.1740465E-02  0.2875760E-03  0.5211258E-03  0.1381895E-02 -0.2277647E-02 -0.1956943E-05 -0.0000000E+00  0.5000000E+01
 -0.1538452E-04 -0.2986130E-02  0.3094343E-03 -0.2684058E-02 -0.2442646E-02 -0.2118833E-02 -0.1956943E-05 -0.0000000E+00  0.6000000E+01
  0.1752692E-03 -0.7856704E-03  0.2632564E-03  0.2980370E-03 -0.7932592E-04 -0.1381413E-02 -0.1956943E-05 -0.0000000E+00  0.7000000E+01
  0.1019551E-03 -0.6313504E-03  0.8613801E-04 -0.2905547E-03  0.1972503E-02 -0.4146624E-02 -0.1956943E-05 -0.0000000E+00  0.8000000E+01
 -0.2575950E-03 -0.2053427E-02  0.3349192E-04 -0.2544133E-02 -0.4285523E-03  0.1168821E-02 -0.1956943E-05 -0.0000000E+00  0.9000000E+01
 -0.2343299E-03  0.1258759E-02  0.2586789E-03 -0.1561251E-02 -0.5344284E-04  0.8190370E-03 -0.1956943E-05 -0.0000000E+00  0.1000000E+02
 -0.1661549E-04  0.1521709E-02 -0.3246719E-03  0.1427886E-02  0.1983473E-02  0.1225070E-02 -0.1956943E-05 -0.0000000E+00  0.1100000E+02
 -0.8955271E-04 -0.7896452E-04  0.1621243E-04  0.4252703E-03  0.1259597E-02  0.1929170E-02 -0.1956943E-05 -0.0000000E+00  0.1200000E+02
  0.9979168E-05  0.8171955E-03 -0.2763956E-03  0.2184661E-02  0.1020880E-03 -0.2249602E-02 -0.1956943E-05 -0.0000000E+00  0.1300000E+02
